id,value
ລາວ,
ລາວ.ຈີນ-ທິເບດ,
ລາວ.ຈີນ-ທິເບດ.ອາຄາ,"66,341"
ລາວ.ຈີນ-ທິເບດ.ພູນ້ອຍ,"28,449"
ລາວ.ຈີນ-ທິເບດ.ລາຫູ,"10,917"
ລາວ.ຈີນ-ທິເບດ.ສີລາ,"1,898"
ລາວ.ຈີນ-ທິເບດ.ຮາຢີ່,501
ລາວ.ຈີນ-ທິເບດ.ໂລໂລ,"1,318"
ລາວ.ຈີນ-ທິເບດ.ຫໍ້,"7,948"
ລາວ.ມົ້ງ-ອິວມ້ຽນ,
ລາວ.ມົ້ງ-ອິວມ້ຽນ.ມົ້ງ,"324,519"
ລາວ.ມົ້ງ-ອິວມ້ຽນ.ອິວມ້ຽນ,"20,552"
ລາວ.ມອນ-ຂະແມ,
ລາວ.ມອນ-ຂະແມ.ກຶມມຸ,"458,453"
ລາວ.ມອນ-ຂະແມ.ໄປຣ,"18,686"
ລາວ.ມອນ-ຂະແມ.ຊິງມູນ,"6,068"
ລາວ.ມອນ-ຂະແມ.ຜ້ອງ,"19,055"
ລາວ.ມອນ-ຂະແມ.ແທ່ນ,496
ລາວ.ມອນ-ຂະແມ.ເອີດູ,385
ລາວ.ມອນ-ຂະແມ.ບິດ,"1,544"
ລາວ.ມອນ-ຂະແມ.ລະເມດ,"13,834"
ລາວ.ມອນ-ຂະແມ.ສາມຕ່າວ,"2,405"
ລາວ.ມອນ-ຂະແມ.ກະຕາງ,"83,295"
ລາວ.ມອນ-ຂະແມ.ມະກອງ,"96,102"
ລາວ.ມອນ-ຂະແມ.ຕຣີ,"19,995"
ລາວ.ມອນ-ຂະແມ.ຢຣູ,"35,089"
ລາວ.ມອນ-ຂະແມ.ຕຣຽງ,"22,054"
ລາວ.ມອນ-ຂະແມ.ຕະໂອ້ຍ,"27,091"
ລາວ.ມອນ-ຂະແມ.ແຢະ,"6,596"
ລາວ.ມອນ-ຂະແມ.ເບຣົາ,"16,171"
ລາວ.ມອນ-ຂະແມ.ກະຕູ,"15,649"
ລາວ.ມອນ-ຂະແມ.ຮາຮັກ,"15,093"
ລາວ.ມອນ-ຂະແມ.ໂອຍ,"14,996"
ລາວ.ມອນ-ຂະແມ.ກຣຽງ,"9,772"
ລາວ.ມອນ-ຂະແມ.ເຈັງ,"5,527"
ລາວ.ມອນ-ຂະແມ.ສະດາງ,568
ລາວ.ມອນ-ຂະແມ.ຊ່ວຍ,"29,292"
ລາວ.ມອນ-ຂະແມ.ຍະເຫີນ,"4,811"
ລາວ.ມອນ-ຂະແມ.ລະວີ,717
ລາວ.ມອນ-ຂະແມ.ປະໂກະ,"11,930"
ລາວ.ມອນ-ຂະແມ.ຂະແມ,"3,927"
ລາວ.ມອນ-ຂະແມ.ຕຸ້ມ,"2,106"
ລາວ.ມອນ-ຂະແມ.ງວນ,566
ລາວ.ມອນ-ຂະແມ.ມ້ອຍ,566
ລາວ.ມອນ-ຂະແມ.ກຣີ,639
ລາວ.ມອນ-ຂະແມ.ບຣູ,
ລາວ.ລາວ-ໄຕ,
ລາວ.ລາວ-ໄຕ.ລາວ,"2,496,725"
ລາວ.ລາວ-ໄຕ.ໄຕ,"144,635"
ລາວ.ລາວ-ໄຕ.ຜູ້ໄທ,"148,503"
ລາວ.ລາວ-ໄຕ.ລື້,"96,925"
ລາວ.ລາວ-ໄຕ.ຍວນ,"20,922"
ລາວ.ລາວ-ໄຕ.ຢັ້ງ,"4,252"
ລາວ.ລາວ-ໄຕ.ແຊກ,"2,508"
ລາວ.ລາວ-ໄຕ.ໄທເໜືອ,"10,123"
